date,code,open,high,low,close,volume,status,source_primary,value_primary,source_secondary,value_secondary,fetched_at
2026-02-19,topix,3822.19,3858.5,3814.94,3852.09,2322600000,OK,kabutan,3852.09,yahoo_jp,3852.09,2026-08-12T14:25:46.765409+09:00
2026-02-20,topix,3821.0,3821.0,3794.9,3808.48,2468340000,OK,kabutan,3808.48,yahoo_jp,3808.48,2026-08-12T14:25:46.765409+09:00
2026-02-24,topix,3806.15,3824.46,3792.28,3815.98,2644750000,OK,kabutan,3815.98,yahoo_jp,3815.98,2026-08-12T14:25:46.765409+09:00
2026-02-25,topix,3829.76,3861.42,3808.16,3843.16,2770740000,OK,kabutan,3843.16,yahoo_jp,3843.16,2026-08-12T14:25:46.765409+09:00
2026-02-26,topix,3875.54,3903.35,3873.8,3880.34,2613120000,OK,kabutan,3880.34,yahoo_jp,3880.34,2026-08-12T14:25:46.765409+09:00
2026-02-27,topix,3878.86,3938.68,3876.87,3938.68,3108180000,OK,kabutan,3938.68,yahoo_jp,3938.68,2026-08-12T14:25:46.765409+09:00
2026-03-02,topix,3882.67,3898.42,3824.0,3898.42,2694150000,OK,kabutan,3898.42,yahoo_jp,3898.42,2026-08-12T14:25:46.765409+09:00
2026-03-03,topix,3867.37,3873.59,3763.43,3772.17,2987610000,OK,kabutan,3772.17,yahoo_jp,3772.17,2026-08-12T14:25:46.765409+09:00
2026-03-04,topix,3718.32,3723.37,3589.25,3633.67,3442860000,OK,kabutan,3633.67,yahoo_jp,3633.67,2026-08-12T14:25:46.765409+09:00
2026-03-05,topix,3695.75,3777.3,3681.9,3702.67,2777460000,OK,kabutan,3702.67,yahoo_jp,3702.67,2026-08-12T14:25:46.765409+09:00
2026-03-06,topix,3667.6,3721.11,3652.16,3716.93,2351860000,OK,kabutan,3716.93,yahoo_jp,3716.93,2026-08-12T14:25:46.765409+09:00
2026-03-09,topix,3649.48,3649.48,3492.76,3575.84,3684770000,OK,kabutan,3575.84,yahoo_jp,3575.84,2026-08-12T14:25:46.765409+09:00
2026-03-10,topix,3625.03,3691.92,3619.42,3664.28,2805680000,OK,kabutan,3664.28,yahoo_jp,3664.28,2026-08-12T14:25:46.765409+09:00
2026-03-11,topix,3703.57,3741.16,3694.34,3698.85,2861950000,OK,kabutan,3698.85,yahoo_jp,3698.85,2026-08-12T14:25:46.765409+09:00
2026-03-12,topix,3660.74,3666.53,3615.43,3649.85,2591800000,OK,kabutan,3649.85,yahoo_jp,3649.85,2026-08-12T14:25:46.765409+09:00
2026-03-13,topix,3597.42,3648.13,3586.78,3629.03,2682420000,OK,kabutan,3629.03,yahoo_jp,3629.03,2026-08-12T14:25:46.765409+09:00
2026-03-16,topix,3618.19,3638.92,3586.09,3610.73,2206160000,OK,kabutan,3610.73,yahoo_jp,3610.73,2026-08-12T14:25:46.765409+09:00
2026-03-17,topix,3647.32,3670.47,3612.72,3627.07,2153630000,OK,kabutan,3627.07,yahoo_jp,3627.07,2026-08-12T14:25:46.765409+09:00
